canonical_smiles,is_coumarin,CYP2C9_pXC50,Factor_XIIa_pXC50,Factor_Xa_pXC50,HSA_pXC50,Thrombin_pXC50,VKORC1_pXC50
C/C(=C\C(=O)O)c1ccc2c(C)cc(Oc3ccc(C(=N)N)cc3)nc2c1,False,,,,,6.221848749616356,
C/C(=C\S(=O)(=O)NC1CCN(c2ccc(-n3ccc(CN(C)C)n3)cc2F)C1=O)c1ccc(Cl)s1,False,,,7.832682665251823,,,
C/C(=C\S(=O)(=O)NC1CCN(c2ccc(-n3ccnc3CN(C)C)cc2F)C1=O)c1ccc(Cl)s1,False,,,9.69897000433602,,,
C/C(=C\S(=O)(=O)NC1CCN(c2ccc(-n3cnc(CN(C)C)c3)cc2F)C1=O)c1ccc(Cl)s1,False,,,7.533132379645891,,,
C/C(=C\S(=O)(=O)NC1CCN(c2ccc(-n3cncc3CN(C)C)cc2F)C1=O)c1ccc(Cl)s1,False,,,9.522878745280336,,,
C/C(=C\S(=O)(=O)N[C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)c1ccc(Cl)s1,False,,,8.698970004336019,,8.698970004336019,
C/C(=C\c1ccccc1)C(=O)n1nnc2ccccc21,False,,5.0227223468782505,,,6.072496186349151,
C/C(=N/NC(=N)N)c1cc(OCC(=O)Nc2cc(/C(C)=N\NC(=N)N)cc(/C(C)=N/NC(=N)N)c2)cc(/C(C)=N\NC(=N)N)c1,False,,,,,6.0655015487564325,
C/C(=N\NC(=N)N)c1cc(NC(=O)CCCCCNC(=N)N)cc(/C(C)=N/NC(=N)N)c1,False,,,3.0,,3.0,
C/C(=N\NC(=N)N)c1cc(NC(=O)CCCCNC(=N)N)cc(/C(C)=N/NC(=N)N)c1,False,,,3.0,,3.0,
C/C(=N\NC(=N)N)c1cc(NC(=O)CCCN)cc(/C(C)=N/NC(=N)N)c1,False,,,3.0,,3.0,
C/C(=N\NC(=N)N)c1cc(NC(=O)CCCNC(=N)N)cc(/C(C)=N/NC(=N)N)c1,False,,,4.795880017344075,,3.096910013008056,
C/C(=N\NC(=N)N)c1cc(NC(=O)[C@H](N)CCCNC(=N)N)cc(/C(C)=N/NC(=N)N)c1,False,,,3.0,,3.0,
C/C(=N\NC(=N)N)c1cc(NS(=O)(=O)c2ccccc2)cc(/C(C)=N/NC(=N)N)c1,False,,,4.096910013008056,,4.494850021680094,
C/C(=N\NC(=N)N)c1ccc(/C(C)=N/NC(=N)N)cc1,False,,,,,3.104577453960592,
C/C(=N\NC(=O)CCn1nnc2ccccc21)c1cccs1,False,,4.301029995663981,,,,
C/C(=N\NC(=O)c1cccc(N/N=C(\C)c2ccccc2)c1)c1ccccc1,False,,4.301029995663981,,,,
C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O,False,5.094743951251549,,,,,
C/C(=N\NC(=S)NC1CCCCC1)c1cccc(Br)c1,False,,,,,4.301029995663981,
C/C(=N\Nc1ccc(Cl)c(C(=O)O)c1)c1cccc([N+](=O)[O-])c1,False,,,,,4.301029995663981,
C/C(=N\Nc1nc2ccccc2n1C1CN(C2CCN(c3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)C1)c1ccccn1,False,5.0,,,,,
C/C(Cc1ccc(Br)cc1)=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1,False,,,5.7447274948966935,,,
C/C(Cc1ccccc1)=N\NC(=O)CNC(=O)c1ccc(Cl)cc1Cl,False,,4.301029995663981,,,,
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,False,4.411168274405792,,,,,
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](SCCN(C)C)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,False,4.872895201635193,,,,,
C/C=C1\NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](COS(=O)(=O)[O-])OC)C(C)C)[C@@H](C)OC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N2C(=O)[C@H](CC[C@H]2O)NC1=O.[Na+],False,,,5.0,,,
C/C=C\Cc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,,8.119186407719209,,8.311580177997289,
C/N=C(/N)CCCC[C@H]1C(=O)O[C@H]2Cc3ccc(-c4ccc(O)cc4)cc3[C@@H]21,False,,,,,5.795880017344075,
C/N=C(/N)N(C)Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,False,,,9.42693598216088,,4.958607314841775,
C/N=C(/N)NCCCC(NS(=O)(=O)c1cccc2c(N(C)C)cccc12)C(=O)N1CCCCC1.Cl,False,,,,,6.018634490921456,
C/N=C(/N)c1ccc(/C=C2/CCCC/C(=C\c3ccc(C(=N)N)cc3)C2=O)cc1,False,,,6.301029995663981,,6.443697499232712,
C/N=C(/N)c1cccc(C2Oc3ccccc3N(CCCCCN3C(C)CCCC3C)C2=O)c1,False,,,5.552841968657781,,,
C/N=C(/NC)N(C)Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,False,,,9.096910013008056,,4.958607314841775,
C/N=C(\N(C)C)N(C)CCCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCC(=O)NC(C=O)CCCN=C(N)N,False,,,5.522878745280337,,4.0,
C/N=C(\N)c1ccc(/C=C2/CCCC/C(=C/c3ccc(C(=N)N)cc3)C2=O)cc1,False,,,7.920818753952375,,5.795880017344075,
C/N=C(\N)c1ccc(/C=C2\CCCC/C(=C\c3ccc(C(=N)N)cc3)C2=O)cc1,False,,,4.537602002101044,,4.891096872332687,
C/N=C(\N)c1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc4cc(Br)ccc4c3)CC2)cc1,False,,,6.638272163982407,,,
C/N=C(\N)c1ccc(NC(=O)c2cc(C)nn2-c2cc3ccccc3cc2F)c(F)c1,False,,,6.943095148663527,,,
C/N=C(\N)c1cccc(/C(C)=C(/F)C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,False,,,6.050609993355087,,,
C1=C(CS/C(=N\C2CCCCC2)NC2CCCCC2)N2CCN=C2S1,False,5.0,,,,,
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1,False,5.0,,,,,
C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,False,5.301029995663981,,,,,
C=C(C)/C=C\c1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,,9.508638306165729,,,
C=C(C)C(=O)Nc1ccc(-c2c(-c3ccc(Oc4nccc(C)n4)c(F)c3)c3c(N)ncnc3n2C)cc1,False,5.107905397309519,,,,,
C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@H](C(N)=O)N(C(=O)CC)C3)c1,False,,4.301029995663981,,,,
C=C(C)CN(CC)C(=O)CC1C(=O)NCCN1CC(C)(C)C,False,,,,,4.301029995663981,
C=C(C)C[C@]1(N)C[C@H](OC)[C@@H]2[C@H](CC)CC(C(=O)NCc3ccc(C(=N)N)cc3)N2C1=O.O=C(O)/C=C/C(=O)O,False,,,,,6.42021640338319,
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,False,5.251811972993799,,,,,
C=C(C)[C@@H]1CC[C@]2(NCCN3CCS(=O)(=O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC[C@@](CF)(C(=O)O)CC6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,False,4.876148359032914,,,,,
C=C(C)[C@@H]1CC[C@]2(NCCN3CCS(=O)(=O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC[C@](COc7ncccc7C#N)(C(=O)O)CC6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,False,5.356547323513812,,,,,
C=C(C)c1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,,8.931814138253838,,7.747146969020107,
C=C(C)c1ccc(N2CC[C@H](NS(=O)(=O)/C=C/c3ccc(Cl)s3)C2=O)c(F)c1,False,,,8.207608310501746,,,
C=C(CCC(=O)c1ccccc1)C(=O)c1ccccc1,False,,,,,4.301029995663981,
C=C(CCO)c1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,,7.948076083953893,,7.250109158728578,
C=C(CO)c1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,,8.148741651280925,,7.401209493236885,
C=C(CON=C(N)N)COc1cc(C)cc(OS(=O)(=O)c2ccccc2S(C)(=O)=O)c1,False,,,,,7.489454989793388,
C=C(F)C(=O)Nc1ccc(-c2c(-c3ccc(Oc4nccc(C)n4)cc3)c(C(N)=O)c3cnc(C)cn23)c(F)c1,False,5.119186407719209,,,,,
C=C(F)C(=O)Nc1ccc(-c2c(-c3ccc(Oc4nccc(C)n4)cc3)c(C(N)=O)c3cnc(C)cn23)cc1,False,5.366531544420414,,,,,
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)c4cnc(Cl)cc4Cl)C(=C)[C@@H]3C[C@H]12,False,5.23634742943547,,,,,
