canonical_smiles,is_coumarin,Factor_XIIa_pIC50,Factor_Xa_pIC50,Thrombin_pIC50,VKORC1_pIC50
CC(=N)N1CCC(Oc2ccc(N(Cc3cc4cc(C(=N)N)ccc4s3)S(=O)(=O)CC(=O)O)cc2)CC1,False,,8.522878745280337,,
CC(=N)N1CCC(Oc2ccc(N(Cc3cc4cc(C(=N)N)ccc4s3)S(C)(=O)=O)cc2)CC1,False,,8.221848749616356,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3cc4ccc(C(=N)N)cc4n3C)S(C)(=O)=O)cc2)CC1,False,,9.096910013008056,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3ccc(-c4cccc(C(=N)N)c4)cc3)S(C)(=O)=O)cc2)CC1,False,,7.6020599913279625,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3ccc4ccc(C(=N)N)cc4c3)S(=O)(=O)CC(=O)O)cc2)CC1,False,,8.698970004336019,8.113509274827518,
CC(=N)N1CCC(Oc2ccc(N(Cc3ccc4ccc(C(=N)N)cc4c3)S(C)(=O)=O)cc2)CC1,False,,8.221848749616356,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3cccc(-c4cccc(C(=N)N)c4)c3)S(=O)(=O)CC(=O)O)cc2)CC1,False,,8.522878745280337,,
CC(=N)N1CCC(Oc2ccc(N(Cc3cccc(-c4cccc(C(=N)N)c4)c3)S(C)(=O)=O)cc2)CC1,False,,8.154901959985743,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3ccccc3-c3ccc(C(=N)N)cc3)S(C)(=O)=O)cc2)CC1,False,,5.0,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3ccccc3-c3cccc(C(=N)N)c3)S(C)(=O)=O)cc2)CC1,False,,5.154901959985743,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3nc4cc(C(=N)N)ccc4n3CC(=O)NC(C)(C)c3ccccc3)C(=O)c3ccc(C(=O)O)cc3)cc2)CC1.Cl.Cl,False,,6.698970004336019,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3nc4cc(C(=N)N)ccc4n3CC(=O)NC3CCCCC3)C(=O)c3ccc(C(=O)O)cc3)cc2)C1.Cl.Cl,False,,7.0,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3nc4cc(C(=N)N)ccc4n3CC(=O)NC3CCCCC3)C(=O)c3ccc(C(=O)O)cc3)cc2)CC1.Cl.Cl,False,,8.0,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3nc4cc(C(=N)N)ccc4n3CC(=O)NCc3ccc(Cl)c(Cl)c3)C(=O)c3ccc(C(=O)O)cc3)cc2)CC1.Cl.Cl,False,,8.221848749616356,5.0,
CC(=N)N1CCC(Oc2ccc(N(Cc3nc4cc(C(=N)N)ccc4n3CC(=O)Nc3ccc(Cl)c(Cl)c3)C(=O)c3ccc(C(=O)O)cc3)cc2)CC1.Cl.Cl,False,,6.698970004336019,5.0,
CC(=N)N1CCC(Oc2ccc(OCc3nc4cc(C(=N)N)ccc4n3CC(=O)N3CCCCC3)cc2)CC1.Cl.Cl,False,,5.522878745280337,5.0,
CC(=N)N1CCC(Oc2ccc(OCc3nc4cc(C(=N)N)ccc4n3CC(=O)NC(C)c3ccccc3)cc2)CC1.Cl.Cl,False,,7.522878745280337,5.0,
CC(=N)N1CCC(Oc2ccc(OCc3nc4cc(C(=N)N)ccc4n3CC(=O)NC3CCCCC3)cc2)CC1.Cl.Cl,False,,7.3979400086720375,5.0,
CC(=N)N1CCC(Oc2ccc(OCc3nc4cc(C(=N)N)ccc4n3CC(=O)NCC3CCCCC3)cc2)CC1.Cl.Cl,False,,6.522878745280337,5.0,
CC(=N)N1CCC(Oc2ccc(OCc3nc4cc(C(=N)N)ccc4n3CC(=O)NCCCc3ccccc3)cc2)CC1.Cl.Cl,False,,6.698970004336019,5.0,
CC(=N)N1CCC(Oc2ccc(OCc3nc4cc(C(=N)N)ccc4n3CC(=O)NCc3ccc(Cl)c(Cl)c3)cc2)CC1.Cl.Cl,False,,7.522878745280337,5.0,
CC(=N)N1CCC(Oc2ccc(OCc3nc4cc(C(=N)N)ccc4n3CC(=O)NCc3ccccc3)cc2)CC1.Cl.Cl,False,,7.0,5.0,
CC(=N)N1CCC(Oc2ccc(OCc3nc4cc(C(=N)N)ccc4n3CC(=O)Nc3ccc(Cl)c(Cl)c3)cc2)CC1.Cl.Cl,False,,7.221848749616356,5.0,
CC(=N)N1CCC(Oc2ccc(OCc3nc4cc(C(=N)N)ccc4n3CC(=O)Nc3ccccc3)cc2)CC1.Cl.Cl,False,,7.0,5.0,
